219

   Latest Italian Serie A Table


              P  HW HD HL HGF HGA AW AD AL AGF AGA Points GD
   Inter      37 15  3  1  41  14  9  7  2  26  12     82 +41
   Roma       37 15  3  1  43  20  9  6  3  28  16     81 +35
   Juventus   37 12  5  2  39  12  8  6  4  30  22     71 +35
   Fiorentina 37 12  4  3  35  18  6  5  7  19  21     63 +15
   Milan      37  7  7  4  27  17 10  3  6  35  20     61 +25
   Sampdoria  37 10  6  2  32  15  7  2 10  21  28     59 +10
   Udinese    37  9  4  6  30  29  7  5  6  17  20     57  -2
   Napoli     37 11  4  4  27  16  3  4 11  22  35     50  -2
   Genoa      37  8  4  7  23  22  5  5  8  21  28     48  -6
   Palermo    37  8  7  4  25  21  4  3 11  20  34     46 -10
   Atalanta   37  7  7  4  34  28  4  5 10  16  28     45  -6
   Lazio      37  8  4  6  26  22  2  9  8  19  28     43  -5
   Siena      37  6  8  4  22  15  3  8  8  16  28     43  -5
   Cagliari   37  8  4  6  20  18  3  4 12  18  36     41 -16
   Torino     37  5  7  6  19  18  3  9  7  17  30     40 -12
   Reggina    37  8  5  6  24  19  1  7 10  11  35     39 -19
   Catania    37  8  5  5  20  13  0  7 12  12  31     36 -12
   Parma      37  7  6  5  28  24  0  7 12  14  36     34 -18
   Empoli     37  4  7  7  16  20  4  2 13  11  31     33 -24
   Livorno    37  3  8  8  18  28  3  4 11  16  30     30 -24

