29

   Latest Football Conference Table


                 P  HW HD HL HGF HGA AW AD AL AGF AGA Points GD
   Aldershot     46 18  2  3  44  21 13  6  4  38  27    101 +34
   Cambridge     46 14  6  3  36  17 11  5  7  32  24     86 +27
   Torquay       46 15  3  5  39  21 11  5  7  44  36     86 +26
   Exeter        46 13  9  1  44  26  9  8  6  39  32     83 +25
   Burton        46 15  3  5  48  31  8  9  6  31  25     81 +23
   Stevenage     46 13  5  5  47  25 11  2 10  35  30     79 +27
   Histon        46 10  7  6  42  36 10  5  8  34  31     72  +9
   Forest Green  46 11  6  6  45  34  8  8  7  31  25     71 +17
   Oxford        46 10  8  5  32  21 10  3 10  24  27     71  +8
   Grays         46 11  6  6  35  23  8  7  8  23  24     70 +11
   Ebbsfleet     46 14  3  6  40  29  5  9  9  25  32     69  +4
   Salisbury     46 12  7  4  35  22  6  7 10  35  38     68 +10
   Kidderminster 46 12  5  6  38  23  7  5 11  36  34     67 +17
   York          46  8  5 10  33  34  9  6  8  38  40     62  -3
   Crawley       46 12  5  6  47  31  7  4 12  26  36     60  +6
   Rushden       46  7 10  6  26  22  8  4 11  29  33     59   0
   Woking        46  7  9  7  28  27  5  8 10  25  34     53  -8
   Weymouth      46  7  5 11  24  34  4  8 11  29  39     46 -20
   Northwich     46  6  7 10  30  36  5  4 14  22  42     44 -26
   Halifax       46  8 10  5  30  29  4  6 13  31  41     42  -9
   Altrincham    46  6  6 11  32  44  3  8 12  24  38     41 -26
   Farsley       46  6  5 12  27  38  4  4 15  21  48     39 -38
   Stafford      46  2  4 17  16  48  3  6 14  26  51     25 -57
   Droylsden     46  4  5 14  27  45  1  4 18  19  58     24 -57

